--- 語音逐字稿 (語言: en) ---
[0.00s -> 10.26s]  Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
[10.26s -> 16.72s]  I can't wait to fly, ooh I'm alive
[16.72s -> 21.80s]  Lie, lie, lie, lie, lie, lie, lie, lie, lie Yeah
[21.80s -> 44.80s]  When you call me, when I hear you breathe I can't wait to fly, I feel that I'm alive
[45.80s -> 59.80s]  When you look at me, I can't touch the sky, I know that I'm alive
[59.80s -> 79.80s]  When you bless the day, I just drift away
[80.80s -> 87.80s]  Oh, my world is there, I'm glad that I'm alive
[90.80s -> 96.80s]  You've set the heart on fire, fill me with love
[96.80s -> 101.80s]  Made me a woman, I'm glad to burn
[109.80s -> 114.80s]  You have to rely on your own life, you'll have a good luck
[114.80s -> 117.80s]  If you're lucky, you'll have a good life
[117.80s -> 120.80s]  If you're lucky, you'll have a good life
[151.80s -> 154.80s]  Who told you, who told you to do it, you told me
[154.80s -> 156.80s]  You need to change the place, there's not much
[156.80s -> 158.80s]  When you spend a lot of money, you don't need to spend a lot of money
[158.80s -> 160.80s]  You can achieve the effect of the flow of money
[160.80s -> 161.80s]  This is called psychological abuse
[161.80s -> 165.80s]  If you don't do it, your psychological abuse will be very painful
[165.80s -> 166.80s]  Do you know what?
[166.80s -> 169.80s]  You can come and say, what do you want to do?
[169.80s -> 172.80s]  His heart is in low blood, so he's gone with you
[172.80s -> 174.80s]  You can't take it anymore
[174.80s -> 177.80s]  Whatever you do later, he's willing to make his money
[177.80s -> 180.80s]  So you have to hit him with a hammer first
[180.80s -> 183.80s]  Even if the hammer is broken, he'll be fine
[183.80s -> 185.80s]  But he can't do it
[188.80s -> 190.80s]  You need to change the place, there's not much
[190.80s -> 192.80s]  Because your foundation is very good
[192.80s -> 195.80s]  It's just that you have to pay for it
[195.80s -> 197.80s]  If I were to design it for you
[197.80s -> 199.80s]  I would suggest you to make a chain and a cage first
[199.80s -> 201.80s]  Every chain design has an important element
[201.80s -> 203.80s]  That is, the chain is important
[203.80s -> 205.80s]  The chain is the standard
[205.80s -> 207.80s]  The chain is the standard
[207.80s -> 210.80s]  The chain is the standard
[210.80s -> 212.80s]  For example, if there is a chain
[212.80s -> 214.80s]  But it's not the standard
[214.80s -> 216.80s]  You have to pay the cash
[216.80s -> 219.80s]  The chain has two points
[219.80s -> 222.80s]  You currently have a lower proportion of money
[222.80s -> 225.80s]  The bearer's blood and the fish's blood
[225.80s -> 227.80s]  Two points are obvious
[227.80s -> 229.80s]  So from psychology
[229.80s -> 231.80s]  It's called the bearer's blood
[231.80s -> 234.80s]  The surface is a acre, a acre
[264.80s -> 266.80s]  眼距过宽
[266.80s -> 268.80s]  记住这句啊
[268.80s -> 270.80s]  如果说你两家凹陷
[270.80s -> 272.80s]  两家凹陷暂不住钱
[272.80s -> 274.80s]  看你写的两家是凹陷的
[274.80s -> 276.80s]  两家凹陷
[276.80s -> 278.80s]  要忘了
[278.80s -> 280.80s]  没有排骨
[280.80s -> 282.80s]  所以要把两家冲进去
[282.80s -> 284.80s]  看看你的眼距
[284.80s -> 286.80s]  两眼之间的眼距
[286.80s -> 288.80s]  越宽
[288.80s -> 290.80s]  人看着越呆板
[290.80s -> 292.80s]  再宽
[292.80s -> 294.80s]  人看着就傻
[294.80s -> 296.80s]  再宽
[296.80s -> 298.80s]  人就看着傻子了
[298.80s -> 300.80s]  所以去
[300.80s -> 302.80s]  所以去在农村
[302.80s -> 304.80s]  你们经常看到一个傻孩子
[304.80s -> 306.80s]  傻孩子研究
[306.80s -> 308.80s]  往两边
[308.80s -> 310.80s]  所以学医的
[310.80s -> 312.80s]  肥胎学
[312.80s -> 314.80s]  小朋友在发育的时候
[314.80s -> 316.80s]  他的眼睛是从这
[316.80s -> 318.80s]  两边像鱼一样的眼睛
[318.80s -> 320.80s]  在两侧
[320.80s -> 322.80s]  他就炸到中间就不长了
[322.80s -> 324.80s]  所以说眼睛就不像
[324.80s -> 326.80s]  发育不全
[326.80s -> 328.80s]  如果眼睛夸的话
[328.80s -> 330.80s]  再宽就看着傻
[330.80s -> 332.80s]  所以说眼睛改善眼睛
[332.80s -> 334.80s]  改善眼睛有两种情况
[334.80s -> 336.80s]  一种情况
[336.80s -> 338.80s]  相对宽
[338.80s -> 340.80s]  如果是绝对宽
[340.80s -> 342.80s]  就看着眼角
[342.80s -> 344.80s]  再宽的话
[344.80s -> 346.80s]  就能改善
[346.80s -> 348.80s]  这真的是太好了
[348.80s -> 350.80s]  我跟老公的年代
[350.80s -> 352.80s]  今天怎么看
[352.80s -> 354.80s]  而且是一年以前
[354.80s -> 356.80s]  过错了
[356.80s -> 358.80s]  像你说的
[358.80s -> 360.80s]  他身体一直也不是
[360.80s -> 362.80s]  有多学者
[362.80s -> 364.80s]  就要去医院
[364.80s -> 366.80s]  去医院
[366.80s -> 368.80s]  去医院
[368.80s -> 370.80s]  难道真的是
[370.80s -> 372.80s]  我的原因
[372.80s -> 374.80s]  她呢
[374.80s -> 376.80s]  她特别的
[376.80s -> 378.80s]  灵秀
[378.80s -> 380.80s]  俊俏
[380.80s -> 382.80s]  她很有灵气
[382.80s -> 384.80s]  是吧
[384.80s -> 386.80s]  而且呢
[386.80s -> 388.80s]  眼睛很有神
[388.80s -> 390.80s]  双眼皮大眼睛
[390.80s -> 392.80s]  俊俏的眉毛
[392.80s -> 394.80s]  眉毛
[394.80s -> 396.80s]  可以用
[396.80s -> 398.80s]  俊俏的眉毛
[398.80s -> 400.80s]  是不是
[400.80s -> 402.80s]  所以说我们刚才不是
[402.80s -> 404.80s]  讲了一句话吧
[404.80s -> 406.80s]  记住那句话了吗
[406.80s -> 408.80s]  记住了吗
[408.80s -> 410.80s]  刚才那句话
[410.80s -> 412.80s]  谁在赞美俠那句诗
[412.80s -> 414.80s]  没记住是吧
[414.80s -> 416.80s]  没记住只有一句
[416.80s -> 418.80s]  只有一个方法
[418.80s -> 420.80s]  你会写一句背
[420.80s -> 422.80s]  把她写一句背一下
[422.80s -> 424.80s]  然后理解她的意思
[424.80s -> 426.80s]  就是眼睛正似琉璃瓶
[426.80s -> 428.80s]  心臟修嘴的国情
[428.80s -> 430.80s]  下巴兜兜不圆堡
[430.80s -> 432.80s]  晚来赋贵少不了
[432.80s -> 434.80s]  贵看眼睛 明看眉
[434.80s -> 436.80s]  福看耳朵 贵看鹅
[436.80s -> 438.80s]  所以说这是
[438.80s -> 440.80s]  她的
[440.80s -> 442.80s]  弧度流畅
[442.80s -> 444.80s]  叫线条流畅
[444.80s -> 446.80s]  轮廓清晰
[446.80s -> 448.80s]  皮肤白细
[448.80s -> 450.80s]  耳嫩光滑
[450.80s -> 452.80s]  友神
[452.80s -> 454.80s]  叫
[454.80s -> 456.80s]  轮廓清晰
[456.80s -> 458.80s]  友情
[458.80s -> 460.80s]  二顾真真必有主见
[460.80s -> 462.80s]  所以说你是个有主见的
[462.80s -> 464.80s]  心意别人改变不了你的主意
[464.80s -> 466.80s]  也就是说你有点妞
[466.80s -> 468.80s]  对吧,有主见,有个性的人
[468.80s -> 470.80s]  都有点小脾气
[470.80s -> 472.80s]  他是有点小脾气
[472.80s -> 474.80s]  对吧,有信心吗?
[474.80s -> 476.80s]  你说啊,在男朋友里要听你们
[476.80s -> 478.80s]  迷头悬俏有心
[478.80s -> 480.80s]  所以说呢
[480.80s -> 482.80s]  他是有财孕
[482.80s -> 484.80s]  记住所有的人
[484.80s -> 486.80s]  迷头有肉的人
[486.80s -> 488.80s]  财孕的不会太差
[488.80s -> 490.80s]  迷头有肉心无毒
[490.80s -> 492.80s]  你一定非常的善良
[492.80s -> 494.80s]  善良吗?
[494.80s -> 496.80s]  除了有人说
[496.80s -> 498.80s]  我不善良
[498.80s -> 500.80s]  我很坏
[500.80s -> 502.80s]  沒有,三分之三讲
[502.80s -> 504.80s]  迷头有肉心无毒
[504.80s -> 506.80s]  你一定非常的善良
[506.80s -> 508.80s]  所以说
[508.80s -> 510.80s]  从你的美好看起来
[510.80s -> 512.80s]  将来一定会
[512.80s -> 514.80s]  有很好的试验
[514.80s -> 516.80s]  跪看眼睛
[516.80s -> 518.80s]  他的眼睛无愧透亮
[518.80s -> 520.80s]  就有贵人之气
[520.80s -> 522.80s]  对吧,看眼睛就看一个人的未来
[522.80s -> 524.80s]  因此你看马云的眼
[524.80s -> 526.80s]  人人看他的眼
[526.80s -> 528.80s]  虽然他脸不好看
[528.80s -> 530.80s]  但是他的眼睛
[530.80s -> 532.80s]  非常的有神
[532.80s -> 534.80s]  那么眼睛也是
[534.80s -> 536.80s]  为基础非常的好
[536.80s -> 538.80s]  基础非常的好
[538.80s -> 540.80s]  那么如果要去改善
[540.80s -> 542.80s]  他的上情
[542.80s -> 544.80s]  保满圆潤而有情
[544.80s -> 546.80s]  对吧,他的上情
[546.80s -> 548.80s]  保满圆潤而有情
[548.80s -> 550.80s]  两色的
[550.80s -> 552.80s]  苹果基础
[552.80s -> 554.80s]  风情
[554.80s -> 556.80s]  有肉而圆潤
[556.80s -> 558.80s]  那么两色
[558.80s -> 560.80s]  他的下法呢
[560.80s -> 562.80s]  下法都得晚年无忧
[562.80s -> 564.80s]  圆俏修计
[564.80s -> 566.80s]  然后再拿你的卡池
[566.80s -> 568.80s]  你们有那个公寓箱吗
[568.80s -> 570.80s]  你们用公寓不用
[570.80s -> 572.80s]  公寓要用一下
[572.80s -> 574.80s]  公寓用,可以做设计的时候
[574.80s -> 576.80s]  公寓用,我的箱子太重了
[576.80s -> 578.80s]  太重了,我掂得不方便
[578.80s -> 580.80s]  要不然我就掂过了
[580.80s -> 582.80s]  这个东西是你的道具
[582.80s -> 584.80s]  道具为了营造你的道场
[584.80s -> 586.80s]  所以说你用的时候
[586.80s -> 588.80s]  一定要拿一些专业的东西
[588.80s -> 590.80s]  给公寓联一下,拍一下,测测演技
[590.80s -> 592.80s]  测测,对于他的角度
[592.80s -> 594.80s]  这些你就注意一下
[594.80s -> 596.80s]  他会觉得你们专业
[596.80s -> 598.80s]  你这么一测
[598.80s -> 600.80s]  你就知道问题来了
[600.80s -> 602.80s]  这么一测,看一下
[602.80s -> 604.80s]  正面的那种看法
[604.80s -> 606.80s]  对不对
[606.80s -> 608.80s]  看出问题来了
[610.80s -> 612.80s]  对
[612.80s -> 614.80s]  就是这个地方
[614.80s -> 616.80s]  就是嘴巴,嘴巴稍微向内
[616.80s -> 618.80s]  对吧,稍微向内
[618.80s -> 620.80s]  稍微向内的话,就像我的一样
[620.80s -> 622.80s]  我的还要做一个二期
[622.80s -> 624.80s]  因为下方抖起来了之后
[624.80s -> 626.80s]  我的嘴巴没有弄起来
[626.80s -> 628.80s]  因为上次我把这个鼻肌
[628.80s -> 630.80s]  给它打起来,不能再打嘴巴
[630.80s -> 632.80s]  再打什么嘴巴,嘴巴有种
[632.80s -> 634.80s]  所以说要第二期改善
[634.80s -> 636.80s]  如果嘴巴向内线的话
[636.80s -> 638.80s]  人就看起来稍微有一点
[638.80s -> 640.80s]  像我太太的嘴
[640.80s -> 642.80s]  就不是太俊修
[642.80s -> 644.80s]  不够大气
[644.80s -> 646.80s]  是吧
[646.80s -> 648.80s]  你兼有三宝日月型
[648.80s -> 650.80s]  练一三宝
[650.80s -> 652.80s]  你的眉毛跟眼睛
[652.80s -> 654.80s]  打一个M比较主
[654.80s -> 656.80s]  而且你的优势有一个优势
[656.80s -> 658.80s]  因为你先天你的嘴唇是杀俏
[658.80s -> 660.80s]  证明你活活开了
[660.80s -> 662.80s]  人乐观的主持
[662.80s -> 664.80s]  遇见什么事都会往好出想
[664.80s -> 666.80s]  都会往坏出想
[666.80s -> 668.80s]  随小向下遇见什么事
[668.80s -> 670.80s]  都往坏出想
[670.80s -> 672.80s]  稍微遇到的挫折
[672.80s -> 674.80s]  就像我应该怎么死
[674.80s -> 676.80s]  所以说
[676.80s -> 678.80s]  整容先生的脸
[678.80s -> 680.80s]  形式重点
[680.80s -> 682.80s]  无关非常优秀
[682.80s -> 684.80s]  如果要做的话
[684.80s -> 686.80s]  就去在脸形上下公子
[686.80s -> 688.80s]  脸形上下公子
[688.80s -> 690.80s]  如果想变成有什么
[690.80s -> 692.80s]  要一样要紧
[692.80s -> 694.80s]  所以
[694.80s -> 696.80s]  爱吃硬的东西
[696.80s -> 698.80s]  是牛肉
[698.80s -> 700.80s]  对吧
[700.80s -> 702.80s]  所以说要做一个
[702.80s -> 704.80s]  紧织轮廓线
[704.80s -> 706.80s]  本身的轮廓线
[706.80s -> 708.80s]  是比较明显的
[708.80s -> 710.80s]  轮廓线
[710.80s -> 712.80s]  有的女孩子是没有轮廓线
[712.80s -> 714.80s]  这儿胖不住的全都是肉
[714.80s -> 716.80s]  没有轮廓线
[716.80s -> 718.80s]  因此把钥匙摄下去
[718.80s -> 720.80s]  两侧的一部
[720.80s -> 722.80s]  摄下去
[722.80s -> 724.80s]  两侧是你的财固
[724.80s -> 726.80s]  因此你现在不知道
[726.80s -> 728.80s]  有钱就花掉
[728.80s -> 730.80s]  把两侧天中起来
[730.80s -> 732.80s]  因为钱会越来越多
[732.80s -> 734.80s]  两侧
[734.80s -> 736.80s]  另外一部你的嘴唇
[736.80s -> 738.80s]  好
[738.80s -> 740.80s]  我是成足功的
[740.80s -> 742.80s]  嘴唇往前唱
[742.80s -> 744.80s]  你的嘴唇有点内收
[744.80s -> 746.80s]  有点内收
[746.80s -> 748.80s]  任何一个人都不是绝对玩
[748.80s -> 750.80s]  彼此高情有情
[750.80s -> 752.80s]  但是呢
[752.80s -> 754.80s]  但是还缺乏一件事情
[754.80s -> 756.80s]  而且呢
[756.80s -> 758.80s]  彼此不够情
[758.80s -> 760.80s]  你一定要不够情
[760.80s -> 762.80s]  所以说呢
[762.80s -> 764.80s]  你要通过婚养算作小形式
[764.80s -> 766.80s]  这样的话
[766.80s -> 768.80s]  你的脸会变小
[768.80s -> 770.80s]  你的脸视觉上会变小
[770.80s -> 772.80s]  眼尾会深陷
[772.80s -> 774.80s]  而且你本身的眉功比较高
[774.80s -> 776.80s]  眉功高的眼睛看起来
[776.80s -> 778.80s]  就比较好看
[778.80s -> 780.80s]  所以说
[780.80s -> 782.80s]  你把外围
[782.80s -> 784.80s]  紧致轮廓线
[784.80s -> 786.80s]  还有你的俊俏
[786.80s -> 788.80s]  会下个
[788.80s -> 790.80s]  打造完之后
[790.80s -> 792.80s]  你的下半部份
[792.80s -> 794.80s]  和谐夫妻公稍微有一点
[794.80s -> 796.80s]  不够风静
[796.80s -> 798.80s]  不够风静 会到你隔头
[798.80s -> 800.80s]  跟这个地方
[800.80s -> 802.80s]  会弦跌 不够流畅
[802.80s -> 804.80s]  有一点凹险
[804.80s -> 806.80s]  其实这不是绝对凹险
[806.80s -> 808.80s]  只是相对
[808.80s -> 810.80s]  把这个天空起来
[810.80s -> 812.80s]  整个眼睛看起来比较圆润
[812.80s -> 814.80s]  还要有情
[814.80s -> 816.80s]  这是给你的建议
[816.80s -> 818.80s]  所以说
[818.80s -> 820.80s]  和谐夫妻公
[820.80s -> 822.80s]  什么算来着
[822.80s -> 824.80s]  你是发言要事儿就不讲算
[824.80s -> 826.80s]  还能让你变身
[826.80s -> 828.80s]  小天人女神
[828.80s -> 830.80s]  天人女神之后再把
[830.80s -> 832.80s]  一句话
[832.80s -> 834.80s]  走在鞋上
[834.80s -> 836.80s]  黑丝背小高
[836.80s -> 838.80s]  低胸还露腰
[838.80s -> 840.80s]  走在鞋上
[840.80s -> 842.80s]  走在鞋上
[842.80s -> 844.80s]  再送您的面
[844.80s -> 846.80s]  再送您的面
[846.80s -> 848.80s]  怎么讲
[848.80s -> 850.80s]  怎么讲行动
[850.80s -> 852.80s]  是不是会行动
[852.80s -> 854.80s]  所以说
[854.80s -> 856.80s]  你设计一定要有专业
[856.80s -> 858.80s]  想专业就得有诚
[858.80s -> 860.80s]  想要有诚就得被送
[860.80s -> 862.80s]  值得苦中苦
[862.80s -> 864.80s]  才能开路
[864.80s -> 866.80s]  人家这句话
[866.80s -> 868.80s]  值得苦中苦
[868.80s -> 870.80s]  才能开路
[870.80s -> 872.80s]  不是光看人家
[872.80s -> 874.80s]  路苦过来
[874.80s -> 876.80s]  保持街过来
[876.80s -> 878.80s]  事关与联系
[878.80s -> 880.80s]  两侧一帕
[880.80s -> 882.80s]  就变成了大铃盘子
[882.80s -> 884.80s]  土飛铃
[884.80s -> 886.80s]  土豆那里吧
[886.80s -> 888.80s]  一花一花的
[888.80s -> 890.80s]  土飛铃
[890.80s -> 892.80s]  所以说
[892.80s -> 894.80s]  所有男女孩子的脸型
[894.80s -> 896.80s]  都适合一字美
[896.80s -> 898.80s]  现在留情 韩国一字美
[898.80s -> 900.80s]  你问你一个土飛铃
[900.80s -> 902.80s]  已经两个土豆人
[902.80s -> 904.80s]  用毛笔画了两下
[904.80s -> 906.80s]  猜猜猜
[906.80s -> 908.80s]  所以说 一定要根据你的脸型
[908.80s -> 910.80s]  如果你的脸型属于瘦长型的
[910.80s -> 912.80s]  适合一字美
[912.80s -> 914.80s]  而且眉功高 更适合一字美
[914.80s -> 916.80s]  所以说 根据自己的脸型
[916.80s -> 918.80s]  举止你的脸型
[918.80s -> 920.80s]  整容不整脸
[920.80s -> 922.80s]  五官不闲眼
[922.80s -> 924.80s]  其实按照我的审美
[924.80s -> 926.80s]  我还是挺喜欢这个
[926.80s -> 928.80s]  但是按照流行审美
[928.80s -> 930.80s]  还是不好看
[930.80s -> 932.80s]  对吧
[932.80s -> 934.80s]  我喜欢丰满有形的
